id,weighting,tenure_type,region
20220000435,837.3929764992818,owner occupied,North West
20220000437,3616.529799993502,owner occupied,West Midlands
20220000448,1668.4720643342587,owner occupied,North West
20220000451,1433.157307999967,local authority,North East
20220000453,2041.1069624319216,owner occupied,West Midlands
20220000454,1846.8771774599672,owner occupied,South East
20220000455,1667.1560415243832,owner occupied,North West
20220000456,2549.8199994371175,owner occupied,East
20220000461,3543.6565453096127,owner occupied,East Midlands
20220000465,2424.6469577511043,owner occupied,North West
20220000470,1212.1549841079054,private rented,South East
20220000474,7887.895548933366,owner occupied,Yorkshire and the Humber
20220000475,1698.6441808245859,private rented,East
20220000477,915.1364985350175,housing association,South West
20220000480,1667.227386980438,owner occupied,North West
20220000481,5745.366532022281,owner occupied,Yorkshire and the Humber
20220000490,2384.6238248043596,owner occupied,South West
20220000492,1766.7397680281301,owner occupied,South East
20220000493,1984.5979701054696,owner occupied,South East
20220000494,3480.2611984990517,owner occupied,West Midlands
20220000495,598.654589043276,local authority,South West
20220000497,2290.8404248575443,owner occupied,South East
20220000499,5406.283950354282,private rented,East
20220000503,2446.472141815798,private rented,East
20220000504,4832.508405744233,private rented,Yorkshire and the Humber
20220000510,1571.3172109621028,private rented,West Midlands
20220000523,3182.9874733910215,owner occupied,West Midlands
20220000526,2032.9872550084817,owner occupied,South East
20220000527,1930.070492525416,housing association,East
20220000528,344.007627417343,owner occupied,South East
20220000531,621.9341920772011,owner occupied,London
20220000532,643.2399944556997,local authority,East
20220000533,2478.115365915438,owner occupied,West Midlands
20220000536,4989.723039031184,private rented,East
20220000543,4556.842477472283,private rented,Yorkshire and the Humber
20220000547,1191.946514371717,local authority,South East
20220000552,1889.055347667848,owner occupied,West Midlands
20220000554,297.8090225723413,owner occupied,South East
20220000563,2310.0455135684692,owner occupied,South East
20220000566,3154.3344822676736,private rented,West Midlands
20220000568,370.3916266737993,private rented,West Midlands
20220000570,4186.7501335269735,owner occupied,Yorkshire and the Humber
20220000573,5459.4459258198085,owner occupied,South East
20220000574,1172.049841147457,housing association,North East
20220000575,2208.59375019991,owner occupied,London
20220000580,8702.37145768597,owner occupied,North West
20220000582,1249.2627240875686,owner occupied,London
20220000584,4555.4812148118535,owner occupied,South East
20220000589,1970.888024230438,owner occupied,South West
20220000590,1156.5019412631636,housing association,South East
20220000601,330.96158519010316,owner occupied,North East
20220000608,1564.4971753252876,owner occupied,North West
20220000612,1773.1260767558822,owner occupied,South East
20220000617,4338.247037228006,owner occupied,Yorkshire and the Humber
20220000621,4110.589774762233,local authority,London
20220000624,4367.112989509877,owner occupied,South East
20220000629,1058.7936555321355,local authority,East Midlands
20220000630,2081.3846645163635,owner occupied,South East
20220000631,5733.080580806083,private rented,London
20220000633,2580.9318193890485,owner occupied,North West
20220000638,920.334103205154,private rented,South East
20220000639,823.0009498284783,housing association,South West
20220000642,925.0275287332375,private rented,East Midlands
20220000645,3792.045863846904,owner occupied,North West
20220000646,404.7756673313133,owner occupied,South West
20220000647,591.064326651739,owner occupied,West Midlands
20220000651,1007.6302354135213,housing association,South East
20220000652,1723.089589765589,owner occupied,South East
20220000653,2479.50442363174,owner occupied,South West
20220000655,4082.968255029579,owner occupied,London
20220000663,1507.2801621182402,owner occupied,South West
20220000664,2793.1834459724064,owner occupied,North West
20220000666,2447.884397909123,housing association,Yorkshire and the Humber
20220000669,1926.563822280428,private rented,East Midlands
20220000674,2660.296701180524,owner occupied,North West
20220000676,2511.26950305544,owner occupied,Yorkshire and the Humber
20220000679,1372.0544520658473,owner occupied,Yorkshire and the Humber
20220000681,6888.498471240143,owner occupied,Yorkshire and the Humber
20220000686,4090.1117701570615,owner occupied,West Midlands
20220000688,3380.3774249088137,owner occupied,North West
20220000695,970.0710659858577,private rented,North West
20220000707,2307.138555244771,private rented,Yorkshire and the Humber
20220000711,1662.8881123189228,owner occupied,North East
20220000714,1256.902884215011,owner occupied,South West
20220000718,1224.321410076561,owner occupied,South West
20220000719,1302.222781646485,owner occupied,South West
20220000721,1746.2911223718563,owner occupied,South East
20220000724,2417.208308398182,owner occupied,East Midlands
20220000725,1634.3836151821315,owner occupied,North East
20220000727,393.39652589819207,owner occupied,West Midlands
20220000735,11285.082405068748,owner occupied,North East
20220000741,4254.74153754461,owner occupied,North East
20220000750,3390.710850256486,owner occupied,North West
20220000753,9569.262618714529,private rented,South West
20220000757,1816.1219687030193,private rented,London
20220000758,2094.852963012489,owner occupied,London
20220000762,1861.9530835033845,private rented,East
20220000763,494.4431289282739,private rented,East
20220000764,4713.927415103492,private rented,London
20220000765,1082.293506606672,owner occupied,North East
20220000767,2770.0095577025154,owner occupied,North West
20220000768,2582.2328253089645,owner occupied,South East
20220000775,3509.7217142165705,owner occupied,South East
20220000777,1976.0094555763021,owner occupied,London
20220000778,2500.133098421343,housing association,London
20220000785,1570.4770528980653,private rented,North West
20220000795,637.6247334760209,housing association,Yorkshire and the Humber
20220000802,1385.255516795225,housing association,North East
20220000803,2526.7371837161004,owner occupied,West Midlands
20220000804,2193.0290962514678,owner occupied,West Midlands
20220000805,686.3796829134782,private rented,East
20220000808,3012.9021542971923,owner occupied,North West
20220000814,1668.4018846064691,owner occupied,East
20220000817,3284.849937134253,owner occupied,London
20220000818,2519.6668849109396,local authority,Yorkshire and the Humber
20220000820,4910.555499232188,owner occupied,South East
20220000823,870.0400272493404,local authority,South West
20220000826,594.8259628289198,local authority,London
20220000833,966.6306034673133,local authority,East Midlands
20220000837,4993.476442463455,owner occupied,West Midlands
20220000857,1209.4447898093497,private rented,London
20220000859,1463.3204987875677,private rented,London
20220000861,1658.4150565796658,owner occupied,North West
20220000872,3342.616500573156,owner occupied,Yorkshire and the Humber
20220000880,1363.975079892103,housing association,South East
20220000882,3062.502839167673,owner occupied,South East
20220000885,2008.6134440817486,housing association,South East
20220000886,1743.4536609722554,housing association,North East
20220000888,518.6533554644735,owner occupied,South East
20220000898,1049.7993653745657,private rented,South East
20220000900,1696.1565246227588,owner occupied,South East
20220000902,2982.662191401228,owner occupied,East
20220000903,11926.219755400212,owner occupied,South East
20220000906,3558.849875898769,owner occupied,South West
20220000907,2787.81041079059,owner occupied,East
20220000910,1831.0581583519227,owner occupied,Yorkshire and the Humber
20220000912,2350.386127886991,private rented,South East
20220000914,1438.1438423260959,private rented,London
20220000915,1687.004878073961,private rented,North West
20220000922,2278.692776266743,private rented,East Midlands
20220000927,2713.6135331214828,private rented,East
20220000935,2246.9460293842367,private rented,North West
20220000936,2722.4835709477607,owner occupied,West Midlands
20220000937,4324.966806254263,owner occupied,London
20220000939,840.6984548205737,housing association,Yorkshire and the Humber
20220000940,1953.8731419308444,owner occupied,Yorkshire and the Humber
20220000941,2670.665827614717,housing association,North West
20220000945,639.3902972914311,housing association,West Midlands
20220000947,1082.6677757426482,local authority,South West
20220000949,1882.6839327597015,owner occupied,South West
20220000959,7553.83195427555,owner occupied,Yorkshire and the Humber
20220000965,2637.5822697875296,owner occupied,Yorkshire and the Humber
20220000966,2164.4435938304773,owner occupied,Yorkshire and the Humber
20220000969,1905.718642423455,private rented,South East
20220000971,3212.2892870535047,owner occupied,South West
20220000975,3551.760507739236,owner occupied,North West
20220000976,3961.4375546663287,owner occupied,South West
20220000979,1114.8454270844484,owner occupied,East
20220000982,1497.5670867758922,owner occupied,Yorkshire and the Humber
20220000986,1548.4714632040998,owner occupied,North West
20220000990,1783.8494472921045,owner occupied,East
20220000991,3440.830312306446,owner occupied,West Midlands
20220000993,1516.378701595021,owner occupied,South West
20220000996,653.5899970203018,local authority,North East
20220000998,911.0294729309442,private rented,Yorkshire and the Humber
20220001007,2226.9753622228195,owner occupied,East
20220001011,1182.1454027762422,owner occupied,London
20220001013,3371.63154290033,owner occupied,Yorkshire and the Humber
20220001016,1318.7409377069002,housing association,East Midlands
20220001018,1274.5286273899867,owner occupied,Yorkshire and the Humber
20220001022,581.6793006902385,owner occupied,South East
20220001023,833.7104173086032,housing association,South East
20220001026,3068.0590886548357,owner occupied,London
20220001035,1489.6583942500345,owner occupied,North East
20220001039,3022.446321359059,owner occupied,South East
20220001047,2253.121689484483,housing association,South East
20220001048,1438.2755863885457,owner occupied,South West
20220001049,1753.2658226465148,housing association,Yorkshire and the Humber
20220001054,770.651607077573,housing association,South East
20220001055,2555.131779788376,owner occupied,North West
20220001057,1948.9002832696274,owner occupied,West Midlands
20220001061,1500.9921159518792,owner occupied,South West
20220001063,2859.2120865650863,private rented,East
20220001067,2279.7353219463703,owner occupied,Yorkshire and the Humber
20220001071,1245.0333443147692,owner occupied,North West
20220001078,1015.0319769182609,housing association,London
20220001084,4449.0359725777935,owner occupied,East Midlands
20220001087,2256.7926291135614,owner occupied,East
20220001089,1585.010827534159,owner occupied,South West
20220001093,520.1699596895708,owner occupied,East Midlands
20220001096,4243.131131741932,owner occupied,North East
20220001105,1559.0361395440552,local authority,Yorkshire and the Humber
20220001112,3454.646618339748,owner occupied,West Midlands
20220001120,9944.337514226812,private rented,East
20220001121,1739.4727184688707,private rented,London
20220001122,2532.7612899195856,owner occupied,Yorkshire and the Humber
20220001123,9493.334935784877,owner occupied,North West
20220001125,1292.361200600569,owner occupied,South East
20220001127,2432.284901642017,owner occupied,Yorkshire and the Humber
20220001134,2438.4907506290238,owner occupied,West Midlands
20220001138,2068.822301986879,owner occupied,South East
20220001139,4006.249142445475,owner occupied,London
20220001140,5150.864077265575,owner occupied,South East
20220001145,1026.9685450487602,housing association,North West
20220001146,2903.0047791728543,owner occupied,East Midlands
20220001147,583.3846017350544,private rented,South West
20220001154,706.7898724107024,housing association,North East
20220001155,1362.2965568681225,housing association,North West
20220001160,1802.8634511970047,housing association,South East
20220001163,1567.766180535086,owner occupied,South West
20220001164,2758.4390095213976,owner occupied,South East
20220001165,2654.272246664103,owner occupied,North West
20220001167,2954.4678926323963,owner occupied,North West
20220001176,1625.2612694830575,owner occupied,South West
20220001182,4038.6542089240743,private rented,North West
20220001187,2964.2129499313746,owner occupied,North East
20220001191,1872.2203598739463,owner occupied,South West
20220001192,2278.970565733713,owner occupied,Yorkshire and the Humber
20220001196,752.3775187259087,private rented,North West
20220001198,3417.122877422931,owner occupied,South West
20220001199,1555.4105218291447,housing association,North West
20220001201,2242.946294659023,local authority,Yorkshire and the Humber
20220001202,572.2321748156463,housing association,East
20220001205,2435.8662711334696,owner occupied,North East
20220001207,859.4376167434464,local authority,Yorkshire and the Humber
20220001209,3159.12039407719,owner occupied,South East
20220001214,7336.341541001541,private rented,Yorkshire and the Humber
20220001225,3023.954789663187,owner occupied,South East
20220001228,8582.992471416277,owner occupied,North East
20220001229,2530.8887723736343,local authority,Yorkshire and the Humber
20220001241,784.2413032110979,private rented,South West
20220001242,2793.20050075634,owner occupied,South East
20220001245,2849.2936676180307,private rented,West Midlands
20220001247,2621.5596796757754,owner occupied,North West
20220001250,2039.211521111582,owner occupied,East
20220001251,6137.942988865103,owner occupied,South West
20220001257,2742.551362438315,private rented,East Midlands
20220001258,1417.0353274868703,owner occupied,North West
20220001262,4553.528847641666,owner occupied,South East
20220001274,2595.724859966576,owner occupied,East
20220001276,2277.316760232275,owner occupied,West Midlands
20220001278,1027.2783018682348,owner occupied,South East
20220001279,2907.6227910660737,owner occupied,East Midlands
20220001283,1541.1718614127553,owner occupied,South West
20220001284,590.7990214564765,local authority,Yorkshire and the Humber
20220001286,1254.8018114233926,local authority,North West
20220001292,2812.4038399012925,owner occupied,South West
20220001293,2288.965406068082,owner occupied,East Midlands
20220001300,980.0901769730925,owner occupied,Yorkshire and the Humber
20220001301,7507.704437666108,owner occupied,West Midlands
20220001305,933.9782458057565,local authority,London
20220001309,4289.260601524206,owner occupied,West Midlands
20220001312,1547.630007500646,owner occupied,South East
20220001314,248.81074718692983,owner occupied,South West
20220001315,4286.192596355744,owner occupied,London
20220001317,2275.4053990062766,owner occupied,South East
20220001319,5374.965102494124,owner occupied,Yorkshire and the Humber
20220001323,825.6367420313677,local authority,North East
20220001324,844.1872147155191,private rented,East
20220001326,1454.0193539501536,local authority,Yorkshire and the Humber
20220001328,1088.2562271114316,housing association,North West
20220001334,2014.2343707563373,owner occupied,North West
20220001336,2926.9055469409695,owner occupied,South West
20220001342,1258.867188211081,housing association,North West
20220001345,3019.815636329276,owner occupied,West Midlands
20220001348,4790.976196678765,owner occupied,London
20220001350,558.7074296200279,owner occupied,East
20220001352,2478.0858095152075,owner occupied,North West
20220001357,4625.6477644674715,owner occupied,South East
20220001358,4853.753678386966,owner occupied,South East
20220001366,4315.952606895623,owner occupied,South West
20220001371,2122.0603306944486,owner occupied,North East
20220001374,1775.1035535864978,private rented,North West
20220001375,734.3563830000694,owner occupied,South East
20220001379,3281.248607913701,owner occupied,East Midlands
20220001382,1185.5277420436958,local authority,South West
20220001385,2072.0098666711333,owner occupied,South West
20220001390,1586.9663902467344,housing association,East Midlands
20220001398,1692.2385556781749,owner occupied,South West
20220001399,690.3740005424219,local authority,South West
20220001400,1556.4334753445185,owner occupied,London
20220001405,687.1193858431892,housing association,South East
20220001408,9000.514869893326,owner occupied,Yorkshire and the Humber
20220001410,13415.205721248649,owner occupied,London
20220001414,4930.8428053145235,private rented,London
20220001418,2301.2522290980514,owner occupied,South East
20220001419,1628.9180239542152,private rented,West Midlands
20220001421,1816.7842101920216,local authority,South East
20220001422,3006.3696979232373,owner occupied,South East
20220001423,741.3190807478937,local authority,Yorkshire and the Humber
20220001425,2534.929104349291,owner occupied,North West
20220001431,7748.497200362549,owner occupied,North West
20220001432,3680.8491334552673,private rented,South East
20220001437,2168.5304745482094,owner occupied,East Midlands
20220001439,1041.8172366338313,local authority,North West
20220001440,4061.4858943376817,owner occupied,South West
20220001442,4134.477194032309,owner occupied,South East
20220001443,2304.39348941602,owner occupied,Yorkshire and the Humber
20220001445,2534.213524402129,owner occupied,London
20220001448,1876.8744740824254,private rented,London
20220001453,5460.309403014618,owner occupied,West Midlands
20220001455,1808.5935367296272,owner occupied,Yorkshire and the Humber
20220001461,7103.577296260329,owner occupied,East
20220001468,3245.643203983469,owner occupied,West Midlands
20220001470,2635.991641953213,owner occupied,East Midlands
20220001473,1279.1862089044535,local authority,South East
20220001474,1115.8453699681622,private rented,East
20220001475,2835.2233508206596,private rented,London
20220001483,9548.678089698444,owner occupied,North East
20220001485,2194.1031188639076,owner occupied,East Midlands
20220001486,1570.0707907764972,owner occupied,Yorkshire and the Humber
20220001488,1944.7039664349409,owner occupied,South West
20220001493,2262.5999374558314,owner occupied,North West
20220001510,1644.2143065391197,housing association,South West
20220001513,843.9053610600648,housing association,North West
20220001516,2223.0883331729283,owner occupied,Yorkshire and the Humber
20220001520,3398.538466176836,owner occupied,South East
20220001525,3536.9270383595876,owner occupied,North West
20220001526,843.5255273757126,local authority,East
20220001531,1451.8271365077555,owner occupied,East
20220001533,329.49938157716446,private rented,London
20220001539,1662.255635342663,housing association,South West
20220001540,1976.6338418433027,owner occupied,North West
20220001541,2132.217311873531,housing association,East Midlands
20220001544,369.8519586867836,owner occupied,London
20220001545,2511.6539693171835,owner occupied,Yorkshire and the Humber
20220001546,1409.9616429356097,owner occupied,South West
20220001549,1134.4408966033764,local authority,London
20220001553,2290.459058709359,owner occupied,South West
20220001554,786.8004646879433,housing association,South East
20220001558,4312.715348868041,private rented,East
20220001559,1888.655938528388,owner occupied,South West
20220001562,703.8885488671256,owner occupied,South East
20220001566,4612.580981477917,owner occupied,East
20220001568,886.1869250919502,private rented,Yorkshire and the Humber
20220001576,2786.751548731047,owner occupied,North West
20220001579,1942.0452101325461,housing association,Yorkshire and the Humber
20220001580,2120.9193460083866,owner occupied,East Midlands
20220001585,3456.8313015767917,owner occupied,West Midlands
20220001589,1349.0610945846984,owner occupied,South East
20220001591,1708.1147125845653,owner occupied,West Midlands
20220001593,1761.9869235804244,owner occupied,North West
20220001594,3576.9216775270174,owner occupied,West Midlands
20220001595,241.47172272581247,owner occupied,East
20220001596,2403.938880521676,housing association,East
20220001597,2034.1930764289361,housing association,South West
20220001598,6244.022771334922,owner occupied,East
20220001599,1351.2360125992748,owner occupied,East
20220001602,548.7031858820214,owner occupied,Yorkshire and the Humber
20220001605,1353.4972304810608,local authority,Yorkshire and the Humber
20220001607,1709.1304944736316,owner occupied,North East
20220001615,1731.4384551274024,housing association,West Midlands
20220001619,3361.805954660804,owner occupied,South West
20220001622,5041.526183958569,owner occupied,East Midlands
20220001627,1890.6579649007915,owner occupied,South East
20220001629,821.5879932201907,owner occupied,North West
20220001631,1499.2274563683181,local authority,South West
20220001633,3849.4761615678485,private rented,North East
20220001639,2450.547248159607,owner occupied,West Midlands
20220001644,3461.1791697216995,owner occupied,South East
20220001651,1622.076602077495,owner occupied,South West
20220001657,885.8950680642154,private rented,North West
20220001660,715.3327672034743,local authority,East
20220001661,1594.960374999222,owner occupied,Yorkshire and the Humber
20220001662,660.0233914762275,owner occupied,West Midlands
20220001668,2573.7689530634975,owner occupied,South West
20220001677,241.23292119030828,owner occupied,South West
20220001678,3726.2299527328396,private rented,Yorkshire and the Humber
20220001679,3543.3893381958833,owner occupied,South East
20220001684,3105.2932384800715,housing association,South West
20220001687,8575.127744932743,owner occupied,London
20220001698,2011.0372101817445,owner occupied,North West
20220001699,2238.64025729359,owner occupied,South West
20220001702,1256.4195490115,private rented,East Midlands
20220001708,6784.69012391591,owner occupied,Yorkshire and the Humber
20220001713,3627.325190832826,owner occupied,Yorkshire and the Humber
20220001716,1692.3981658909283,owner occupied,East
20220001717,4521.242652690338,owner occupied,South East
20220001719,1556.1127104849106,owner occupied,South East
20220001721,2457.552761495563,private rented,South East
20220001725,2866.5401510891606,owner occupied,East Midlands
20220001728,778.0188861114257,owner occupied,Yorkshire and the Humber
20220001729,3716.45599626609,owner occupied,London
20220001731,950.4489134360767,owner occupied,South East
20220001740,3393.803052538579,owner occupied,South East
20220001742,1246.0225222779186,owner occupied,South West
20220001746,711.6021824032695,housing association,South East
20220001747,2810.090477092052,owner occupied,North West
20220001749,7758.729623081857,private rented,West Midlands
20220001750,2368.504075061251,private rented,North West
20220001759,8614.156302100726,housing association,London
20220001760,1244.8596647466607,local authority,Yorkshire and the Humber
20220001763,1883.3258351750912,private rented,South East
20220001767,3184.3937711123676,owner occupied,Yorkshire and the Humber
20220001782,2808.522455487698,owner occupied,South East
20220001784,5199.575730498898,owner occupied,London
20220001790,2244.926617369971,private rented,South West
20220001793,1788.2189447247874,owner occupied,East
20220001801,646.3764994439596,private rented,South East
20220001806,4888.028185730026,owner occupied,South East
20220001808,2270.4517618848913,local authority,London
20220001811,2140.705582654119,owner occupied,West Midlands
20220001816,1037.437391530968,local authority,South East
20220001825,2023.9886396149952,owner occupied,South East
20220001826,648.1360763607144,owner occupied,North West
20220001829,606.3490478765076,owner occupied,South East
20220001833,920.0954475812507,owner occupied,London
20220001835,1944.8179982885201,housing association,North West
20220001841,2112.383843829817,private rented,West Midlands
20220001842,3171.453566862303,owner occupied,South West
20220001843,1776.5287484538253,owner occupied,North West
20220001845,1400.0505654314543,owner occupied,North West
20220001848,1869.2981799728589,owner occupied,Yorkshire and the Humber
20220001849,4972.3696163062405,owner occupied,North West
20220001854,4314.891833282782,private rented,Yorkshire and the Humber
20220001857,1949.3893209120645,owner occupied,East
20220001859,1933.6193975690317,owner occupied,South West
20220001860,1352.2597708670792,housing association,South East
20220001864,5089.111166556349,owner occupied,West Midlands
20220001868,2363.188009180006,owner occupied,South West
20220001869,1979.9309143881349,housing association,North West
20220001870,1477.4542563677942,owner occupied,West Midlands
20220001875,2579.3028749624555,owner occupied,South West
20220001876,4506.685965717587,housing association,London
20220001877,1278.0939199476045,owner occupied,North West
20220001878,1743.9729124467726,owner occupied,East
20220001884,2039.7006265293292,owner occupied,East
20220001886,6883.1369945982815,owner occupied,East Midlands
20220001887,2546.225601774561,owner occupied,East Midlands
20220001888,3523.6360841084365,owner occupied,West Midlands
20220001893,1540.1512252120485,housing association,South East
20220001895,1858.0921642377325,housing association,Yorkshire and the Humber
20220001897,1993.287484797965,owner occupied,East
20220001900,964.4996452929306,private rented,Yorkshire and the Humber
20220001901,939.4356860778206,owner occupied,South West
20220001906,1314.4079487475578,owner occupied,East Midlands
20220001907,1304.6418095805418,private rented,North West
20220001910,1430.978815383446,owner occupied,South West
20220001911,2104.9911619476898,owner occupied,West Midlands
20220001916,836.2620854507971,owner occupied,Yorkshire and the Humber
20220001920,2769.9866707123324,owner occupied,East Midlands
20220001921,2365.9572243636085,owner occupied,Yorkshire and the Humber
20220001923,5162.324598537963,local authority,London
20220001924,1883.9967091082854,owner occupied,East Midlands
20220001926,1644.8929436977926,owner occupied,North West
20220001930,1447.4074568383687,housing association,South East
20220001931,1286.681609396401,owner occupied,South East
20220001933,2631.1287224239773,owner occupied,East Midlands
20220001941,4332.96346182211,private rented,North West
20220001944,849.4198463904469,owner occupied,London
20220001946,1558.8730807014472,housing association,South West
20220001947,2364.7129589866445,owner occupied,East
20220001948,2731.3587888832403,owner occupied,North East
20220001950,2109.3533774174134,owner occupied,South West
20220001952,2261.05529822835,owner occupied,East Midlands
20220001953,2574.385351639895,owner occupied,Yorkshire and the Humber
20220001954,2745.5665918714735,owner occupied,South West
20220001955,4964.283227228261,housing association,West Midlands
20220001956,1817.8398351551377,private rented,South East
20220001957,2829.0155653972433,owner occupied,North West
20220001971,4642.5581385843525,housing association,East
20220001980,1964.961861349028,owner occupied,Yorkshire and the Humber
20220001982,3281.3661411996436,owner occupied,North West
20220001983,1045.6151244937819,housing association,East Midlands
20220001988,2106.700440889842,owner occupied,South East
20220001994,2562.019510292492,owner occupied,West Midlands
20220001995,1792.0127999783574,owner occupied,North West
20220001996,1303.3154681691417,local authority,North East
